Unnamed: 0,clientIp,Borealis
0,147.182.194.6,"{""ips"":[""147.182.194.6""],""results"":[{""resolvedDomains"":[{""ip"":""147.182.194.6"",""date"":""Jun 6, 2024, 10:58:42 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""NEUSTAR"":[{""representation"":{""start_ip_int"":2478227968,""end_ip_int"":2478228223,""start_ip"":""147.182.194.0"",""end_ip"":""147.182.194.255""},""connectivity"":{""continent"":""north america"",""country"":""united states"",""country_code"":""us"",""country_cf"":99,""region"":""southwest"",""state"":""california"",""state_code"":""ca"",""state_cf"":0,""city"":""palo alto"",""city_cf"":80,""postal_code"":""94301"",""postal_code_cf"":2,""area_code"":650,""time_zone"":-8.0,""latitude"":37.443,""longitude"":-122.151,""dma"":807,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":14061,""tld"":""com"",""sld"":"""",""organization"":""digitalocean  llc"",""organization_type"":""Data Services"",""naics_code"":""518210"",""isic_code"":""J6311"",""carrier"":""digitalocean  llc"",""home"":""false""},""proxy"":{""anonymizer_status"":""private"",""proxy_type"":""service"",""proxy_level"":""elite"",""proxy_last_detected"":""2022-10-17"",""vpn_service"":""digital ocean"",""hosting_facility"":""true""}}],""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":39,""suspicious"":0,""harmless"":54,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""2"",""lastHttpsCertificate"":{""issuer"":{""C"":""US"",""CN"":""R3"",""O"":""Let\u0027s Encrypt""},""validity"":{""not_after"":""2022-12-03 14:15:39"",""not_before"":""2022-09-04 14:15:40""}},""vtlink"":""https://www.virustotal.com/gui/ip-address/147.182.194.6"",""asn"":14061,""country"":""US"",""asOwner"":""DIGITALOCEAN-ASN"",""lastHttpsCertificateDate"":""Sep 04, 2022, 11:23:24 AM"",""network"":""147.182.128.0/17"",""jarm"":""15d2ad16d29d29d00015d2ad15d29d67edd16014aa8d87eb613c543d04cbe2""},""PORCUPINE"":[]}}"
1,87.251.67.120,"{""ips"":[""87.251.67.120""],""results"":[{""resolvedDomains"":[{""ip"":""87.251.67.120"",""date"":""Jun 6, 2024, 10:58:43 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""NEUSTAR"":[{""representation"":{""start_ip_int"":1476084480,""end_ip_int"":1476084735,""start_ip"":""87.251.67.0"",""end_ip"":""87.251.67.255""},""connectivity"":{""continent"":""europe"",""country"":""netherlands"",""country_code"":""nl"",""country_cf"":86,""region"":"""",""state"":""noord-holland"",""state_code"":""nh"",""state_cf"":0,""city"":""amsterdam"",""city_cf"":50,""postal_code"":""1101"",""postal_code_cf"":0,""area_code"":0,""time_zone"":1.0,""latitude"":52.3091,""longitude"":4.94019,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":208091,""tld"":"""",""sld"":"""",""organization"":"" xhost internet solutions lp  suite 6060  128 aldersgate street "",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""xhost internet solutions lp"",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":30,""suspicious"":0,""harmless"":62,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""1"",""vtlink"":""https://www.virustotal.com/gui/ip-address/87.251.67.120"",""asn"":208091,""country"":""RU"",""asOwner"":""Xhost Internet Solutions Lp"",""network"":""87.251.67.0/24""},""PORCUPINE"":[]}}"
4,45.158.15.185,"{""ips"":[""45.158.15.185""],""results"":[{""resolvedDomains"":[{""ip"":""45.158.15.185"",""date"":""Jun 6, 2024, 10:58:44 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""NEUSTAR"":[{""representation"":{""start_ip_int"":765333408,""end_ip_int"":765333439,""start_ip"":""45.158.15.160"",""end_ip"":""45.158.15.191""},""connectivity"":{""continent"":""asia"",""country"":""turkey"",""country_code"":""tr"",""country_cf"":99,""region"":"""",""state"":""adana"",""state_code"":""01"",""state_cf"":0,""city"":""adana"",""city_cf"":61,""postal_code"":""01000"",""postal_code_cf"":2,""area_code"":0,""time_zone"":2.0,""latitude"":37.0019,""longitude"":35.3317,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""tx"",""line_speed"":""high""},""organization"":{""asn"":207459,""tld"":"""",""sld"":"""",""organization"":""taner temel"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""teknosos bilisim hizmetleri ve tic. ltd. sti."",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":93,""suspicious"":0,""harmless"":0,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""1"",""lastHttpsCertificate"":{""issuer"":{""C"":""US"",""CN"":""R3"",""O"":""Let\u0027s Encrypt""},""validity"":{""not_after"":""2022-12-24 09:26:28"",""not_before"":""2022-09-25 09:26:29""}},""vtlink"":""https://www.virustotal.com/gui/ip-address/45.158.15.185"",""asn"":207459,""country"":""TR"",""asOwner"":""Teknosos Bilisim Hizmetleri Ve Tic. Ltd. Sti."",""lastHttpsCertificateDate"":""Sep 25, 2022, 06:33:15 AM"",""network"":""45.158.15.0/24"",""jarm"":""40d40d40d00000000043d40d40d43dd812443a829002f8e614d83abb6b19de""},""PORCUPINE"":[]}}"
6,193.93.62.5,"{""ips"":[""193.93.62.5""],""results"":[{""resolvedDomains"":[{""ip"":""193.93.62.5"",""date"":""Jun 6, 2024, 10:58:46 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""NEUSTAR"":[{""representation"":{""start_ip_int"":3244113408,""end_ip_int"":3244113663,""start_ip"":""193.93.62.0"",""end_ip"":""193.93.62.255""},""connectivity"":{""continent"":""europe"",""country"":""latvia"",""country_code"":""lv"",""country_cf"":86,""region"":"""",""state"":""riga"",""state_code"":"""",""state_cf"":0,""city"":""riga"",""city_cf"":61,""postal_code"":""lv-1001"",""postal_code_cf"":0,""area_code"":0,""time_zone"":2.0,""latitude"":56.9602,""longitude"":24.1343,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":0,""tld"":"""",""sld"":"""",""organization"":""sia it services"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":"""",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":93,""suspicious"":0,""harmless"":0,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""0"",""vtlink"":""https://www.virustotal.com/gui/ip-address/193.93.62.5"",""country"":""LV""},""PORCUPINE"":[]}}"
8,193.93.62.20,"{""ips"":[""193.93.62.20""],""results"":[{""resolvedDomains"":[{""ip"":""193.93.62.20"",""date"":""Jun 6, 2024, 10:58:47 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""NEUSTAR"":[{""representation"":{""start_ip_int"":3244113408,""end_ip_int"":3244113663,""start_ip"":""193.93.62.0"",""end_ip"":""193.93.62.255""},""connectivity"":{""continent"":""europe"",""country"":""latvia"",""country_code"":""lv"",""country_cf"":86,""region"":"""",""state"":""riga"",""state_code"":"""",""state_cf"":0,""city"":""riga"",""city_cf"":61,""postal_code"":""lv-1001"",""postal_code_cf"":0,""area_code"":0,""time_zone"":2.0,""latitude"":56.9602,""longitude"":24.1343,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":0,""tld"":"""",""sld"":"""",""organization"":""sia it services"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":"""",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":28,""suspicious"":0,""harmless"":64,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""2"",""vtlink"":""https://www.virustotal.com/gui/ip-address/193.93.62.20"",""country"":""LV""},""PORCUPINE"":[]}}"
